日期,品种,标的,多空,数量,可用数量,收盘价/结算价,市值/价值,盈亏/逐笔浮盈,开仓均价,持仓均价（期货）,保证金,当日盈亏,今手数,盈亏占比,仓位占比
2014/6/20,股票,上海机场(600009.XSHG),多,2200股,2200股,12.7,27940,-366,12.87,-,0,-44,0股,-1.29%,4.50%
2014/6/20,股票,万科A(000002.XSHE),多,14900股,14900股,8.13,121137,8161,7.58,-,0,2086,0股,7.22%,19.53%
2014/6/20,股票,格力电器(000651.XSHE),多,3900股,3900股,29.05,113295,7030,27.25,-,0,-975,0股,6.62%,18.26%
2014/6/20,股票,万华化学(600309.XSHG),多,2400股,2400股,14.96,35904,-1560,15.61,-,0,192,0股,-4.16%,5.79%
2014/6/20,,Cash,,,,,6288.06,,,,,,,,
2014/6/23,股票,招商银行(600036.XSHG),多,12500股,12500股,10.1,126250,2510,9.9,-,0,-1375,0股,2.03%,20.43%
2014/6/23,股票,长江电力(600900.XSHG),多,11000股,11000股,6.1,67100,3687,5.76,-,0,-550,0股,5.81%,10.86%
2014/6/23,股票,宁波银行(002142.XSHE),多,13300股,13300股,9.09,120897,2268,8.92,-,0,399,0股,1.91%,19.56%
2014/6/23,股票,上海机场(600009.XSHG),多,2200股,2200股,12.7,27940,-366,12.87,-,0,0,0股,-1.29%,4.52%
2014/6/23,股票,万科A(000002.XSHE),多,14900股,14900股,8.15,121435,8459,7.58,-,0,298,0股,7.49%,19.65%
2014/6/23,股票,格力电器(000651.XSHE),多,3900股,3900股,28.85,112515,6250,27.25,-,0,-780,0股,5.88%,18.20%
2014/6/23,股票,万华化学(600309.XSHG),多,2400股,2400股,14.87,35688,-1776,15.61,-,0,-216,0股,-4.74%,5.77%
2014/6/23,,Cash,,,,,6288.06,,,,,,,,
2014/6/24,股票,招商银行(600036.XSHG),多,12500股,12500股,10.18,127250,3510,9.9,-,0,1000,0股,2.84%,20.51%
2014/6/24,股票,长江电力(600900.XSHG),多,11000股,11000股,6.11,67210,3797,5.76,-,0,110,0股,5.99%,10.83%
2014/6/24,股票,宁波银行(002142.XSHE),多,13300股,13300股,9.12,121296,2667,8.92,-,0,399,0股,2.25%,19.55%
2014/6/24,股票,上海机场(600009.XSHG),多,2200股,2200股,12.79,28138,-168,12.87,-,0,198,0股,-0.59%,4.54%
2014/6/24,股票,万科A(000002.XSHE),多,14900股,14900股,8.09,120541,7565,7.58,-,0,-894,0股,6.70%,19.43%
2014/6/24,股票,格力电器(000651.XSHE),多,3900股,3900股,29.18,113802,7537,27.25,-,0,1287,0股,7.09%,18.34%
2014/6/24,股票,万华化学(600309.XSHG),多,2400股,2400股,14.97,35928,-1536,15.61,-,0,240,0股,-4.10%,5.79%
2014/6/24,,Cash,,,,,6288.06,,,,,,,,
2014/6/25,股票,招商银行(600036.XSHG),多,12500股,12500股,10.14,126750,3010,9.9,-,0,-500,0股,2.43%,20.46%
2014/6/25,股票,长江电力(600900.XSHG),多,11000股,11000股,6.11,67210,3797,5.76,-,0,0,0股,5.99%,10.85%
2014/6/25,股票,宁波银行(002142.XSHE),多,13300股,13300股,9.08,120764,2135,8.92,-,0,-532,0股,1.80%,19.49%
2014/6/25,股票,上海机场(600009.XSHG),多,2200股,2200股,12.72,27984,-322,12.87,-,0,-154,0股,-1.14%,4.52%
2014/6/25,股票,万科A(000002.XSHE),多,14900股,14900股,8.13,121137,8161,7.58,-,0,596,0股,7.22%,19.55%
2014/6/25,股票,格力电器(000651.XSHE),多,3900股,3900股,29.09,113451,7186,27.25,-,0,-351,0股,6.76%,18.31%
2014/6/25,股票,万华化学(600309.XSHG),多,2400股,2400股,14.98,35952,-1512,15.61,-,0,24,0股,-4.04%,5.80%
2014/6/25,,Cash,,,,,6288.06,,,,,,,,
2014/6/26,股票,招商银行(600036.XSHG),多,12500股,12500股,10.24,128000,4260,9.9,-,0,1250,0股,3.44%,20.49%
2014/6/26,股票,长江电力(600900.XSHG),多,11000股,11000股,6.1,67100,3687,5.76,-,0,-110,0股,5.81%,10.74%
2014/6/26,股票,宁波银行(002142.XSHE),多,13300股,13300股,9.12,121296,2667,8.92,-,0,532,0股,2.25%,19.42%
2014/6/26,股票,上海机场(600009.XSHG),多,2200股,2200股,12.79,28138,-168,12.87,-,0,154,0股,-0.59%,4.50%
2014/6/26,股票,万科A(000002.XSHE),多,14900股,14900股,8.26,123074,10098,7.58,-,0,1937,0股,8.94%,19.70%
2014/6/26,股票,格力电器(000651.XSHE),多,3900股,3900股,29.4,114660,8395,27.25,-,0,1209,0股,7.90%,18.36%
2014/6/26,股票,万华化学(600309.XSHG),多,2400股,2400股,15.03,36072,-1392,15.61,-,0,120,0股,-3.72%,5.77%
2014/6/26,,Cash,,,,,6288.06,,,,,,,,
2014/6/27,股票,招商银行(600036.XSHG),多,12500股,12500股,10.18,127250,3510,9.9,-,0,-750,0股,2.84%,20.36%
2014/6/27,股票,长江电力(600900.XSHG),多,11000股,11000股,6.09,66990,3577,5.76,-,0,-110,0股,5.64%,10.72%
2014/6/27,股票,宁波银行(002142.XSHE),多,13300股,13300股,9.15,121695,3066,8.92,-,0,399,0股,2.58%,19.48%
2014/6/27,股票,上海机场(600009.XSHG),多,2200股,2200股,12.84,28248,-58,12.87,-,0,110,0股,-0.20%,4.52%
2014/6/27,股票,万科A(000002.XSHE),多,14900股,14900股,8.32,123968,10992,7.58,-,0,894,0股,9.73%,19.84%
2014/6/27,股票,格力电器(000651.XSHE),多,3900股,3900股,29.36,114504,8239,27.25,-,0,-156,0股,7.75%,18.33%
2014/6/27,股票,万华化学(600309.XSHG),多,2400股,2400股,14.96,35904,-1560,15.61,-,0,-168,0股,-4.16%,5.75%
